Brand_ID,Brand_Name,Country,Year,Sustainability_Rating,Material_Type,Eco_Friendly_Manufacturing,Waste_Production_KG,Recycling_Programs,Product_Lines,Average_Price_USD,Market_Trend,Certifications,Carbon_Footprint_KG,Water_Usage_KG,Recycling_Programs_Encoded
BRAND-0001,Brand_1,Australia,2018,0.5253186071895953,Tencel,No,97844.11,No,2,38.33,Growing,GOTS,1750.0,4511152.79,2
BRAND-0002,Brand_2,Japan,2015,0.42357376987703477,Vegan Leather,Yes,37267.75,No,15,250.07,Growing,GOTS,124390.0,1951566.31,2
BRAND-0003,Brand_3,USA,2024,0.405232042775158,Vegan Leather,No,38385.92,No,2,146.16,Growing,B Corp,336660.0,467454.52,2
BRAND-0004,Brand_4,Italy,2023,0.3329762314478686,Bamboo Fabric,No,32665.45,No,13,165.52,Stable,OEKO-TEX,152040.0,899576.9,2
BRAND-0005,Brand_5,USA,2016,0.41948768755965604,Bamboo Fabric,Yes,37295.47,Yes,19,211.63,Stable,Fair Trade,415630.0,1809219.9,1
BRAND-0006,Brand_6,Italy,2017,0.5238751325298421,Recycled Polyester,No,69017.63,Yes,10,196.45,Stable,B Corp,447650.0,2244115.38,1
BRAND-0007,Brand_7,Australia,2015,0.5039098555016762,Hemp,Yes,18373.35,No,17,376.14,Stable,GOTS,345640.0,1020265.49,2
BRAND-0008,Brand_8,Brazil,2022,0.5006392074355949,Tencel,No,28717.69,No,18,59.34,Declining,OEKO-TEX,336700.0,3847649.16,2
BRAND-0009,Brand_9,France,2018,0.35045094201843474,Recycled Polyester,Yes,45916.88,Yes,11,91.12,Declining,GOTS,386680.0,1494891.28,1
BRAND-0010,Brand_10,India,2011,0.7174152891241027,Bamboo Fabric,No,58636.15,No,9,426.55,Stable,GOTS,250940.0,3892548.66,2
BRAND-0011,Brand_11,Italy,2012,0.5345315260176446,Organic Cotton,Yes,50610.02,Yes,1,214.88,Stable,Fair Trade,417760.0,3489944.51,1
BRAND-0012,Brand_12,UK,2015,0.4456277611630226,Hemp,No,44827.29,Yes,10,436.95,Stable,GOTS,122810.0,2563102.3,1
BRAND-0013,Brand_13,Japan,2024,0.6321158317060227,Hemp,No,2507.82,No,20,437.23,Stable,GOTS,413270.0,3162662.08,2
BRAND-0014,Brand_14,USA,2022,0.5585949872560375,Tencel,Yes,39252.99,Yes,5,474.4,Declining,GOTS,164830.0,4380926.36,1
BRAND-0015,Brand_15,Germany,2017,0.5994908632416314,Bamboo Fabric,No,88315.18,Yes,8,290.5,Growing,OEKO-TEX,215430.0,4210420.72,1
BRAND-0016,Brand_16,China,2013,0.4636903898640057,Recycled Polyester,Yes,98864.61,No,13,24.95,Stable,GOTS,227940.0,1040405.39,2
BRAND-0017,Brand_17,Germany,2011,0.32937676262427784,Bamboo Fabric,Yes,34738.56,Yes,9,148.35,Growing,GOTS,45070.0,4448039.39,1
BRAND-0018,Brand_18,Japan,2022,0.34179184914304683,Recycled Polyester,No,20532.15,No,11,48.83,Stable,GOTS,335150.0,1068529.66,2
BRAND-0019,Brand_19,China,2012,0.3637135390572609,Bamboo Fabric,No,46905.65,No,3,182.45,Declining,GOTS,173930.0,434142.38,2
BRAND-0020,Brand_20,Australia,2018,0.6764819231626595,Hemp,Yes,96370.47,No,16,134.28,Growing,GOTS,437750.0,2345334.52,2
BRAND-0021,Brand_21,Australia,2012,0.5302961335115608,Vegan Leather,No,17075.64,Yes,15,482.32,Growing,GOTS,489190.0,1549017.38,1
BRAND-0022,Brand_22,Brazil,2012,0.5499574201669609,Vegan Leather,Yes,75519.58,Yes,17,176.31,Declining,B Corp,375740.0,3398780.12,1
